date;section;institution;location;role;note;
10/2023–present;Professional Experience;Max Planck Institute for Dynamics and Self-Organization;Göttingen, Germany;Head of Neural Network Dynamics;Team lead in the group of Viola Priesemann
10/2023–present;Professional Experience;Georg-August Universität Göttingen;Göttingen, Germany;Senior Researcher and Lecturer;
03/2025–present;Professional Experience;Freelance Consulting;Remote;Scientific Consultant;Data-driven modeling and time series prediction
02/2020–05/2020;Professional Experience;Universidad de Granada;Granada, Spain;Visiting Scientist;
08/2019;Professional Experience;University of Calgary;Calgary, Canada;Assistant Professor (offer);Tenure-track offer (declined)
01/2017–09/2023;Professional Experience;Max Planck Institute for Dynamics and Self-Organization;Göttingen, Germany;Postdoctoral Researcher;
07/2015–12/2016;Professional Experience;University of Leipzig;Leipzig, Germany;Postdoctoral Researcher;
2012–2015;Professional Experience;Coventry University;Coventry, UK;Research Visitor;Multiple short research stays
2011–2012;Professional Experience;Université de Nancy;Nancy, France;Research Visitor;Multiple short research stays
10/2011–06/2015;Education;University of Leipzig;Leipzig, Germany;Dr. rer. nat. (Physics);
04/2009–01/2011;Education;University of Leipzig;Leipzig, Germany;M.Sc. Physics;
09/2008–02/2009;Education;ETH Zürich;Zürich, Switzerland;ERASMUS Exchange;
09/2005–09/2008;Education;University of Leipzig;Leipzig, Germany;B.Sc. Physics;
