#year; journal; volume; pages; authors; title; link; comments
2017; arxiv; ; ;Wolfhard Janke and Philipp Schierz and Johannes Zierenberg; Transition barrier at a first-order phase transition in the canonical and microcanonical ensemble; https://arxiv.org/abs/1707.05963; 
2017; arxiv; ; ;Jonathan Gross and Johannes Zierenberg and Martin Weigel and Wolfhard Janke; Massively parallel multicanonical simulations; https://arxiv.org/abs/1707.00919;
2017; Macromolecules; 50; 4054; Kieran S. Austin and Johannes Zierenberg and Wolfhard Janke; Interplay of adsorption and semiflexibility: Structural behavior of grafted polymers under poor solvent conditions; http://pubs.acs.org/doi/full/10.1021/acs.macromol.6b02738;
2017; Condens. Matter Phys.; 20; 13004; Niklas Fricke and Johannes Zierenberg and Martin Marenz and F. Paul Spitzner and Viktoria Blavatska and Wolfhard Janke; Scaling laws for random walks in long-range correlated disordered media; https://arxiv.org/abs/1703.10368;
2017; Soft Matter; 13; 1276; Suman Majumder and Johannes Zierenberg and Wolfhard Janke; Kinetics of polymer collapse: Effect of temperature on cluster growth and aging; http://pubs.rsc.org/en/content/articlehtml/2017/sm/c6sm02197b; 
2017; Eur. Phys. J. Special Topics; 226; 789; Johannes Zierenberg and Nikolaos G. Fytas and Martin Weigel and Wolfhard Janke and Anastasios Malakis; Scaling and universality in the phase diagram of the 2D Blume-Capel model; http://link.springer.com/article/10.1140/epjst/e2016-60337-x; [<a href="https://arxiv.org/abs/1612.02138">arxiv</a>]
2017; Eur. Phys. J. Special Topics; 226; 683; Johannes Zierenberg and Katharina Tholen and Wolfhard Janke; Effect of grafting on the binding transition of two flexible polymers; http://rdcu.be/qEYi; [<a href="https://arxiv.org/abs/1612.01778">arxiv</a>]
2016; Polymers; 8; 33; Johannes Zierenberg and Martin Marenz and Wolfhard Janke; Polymers with Attraction: Collapse, Folding and Aggregation Polymers with Attraction: Collapse, Folding and Aggregation; http://www.mdpi.com/2073-4360/8/9/333; (Invited Review)
2016; Phys. Rev. E; 94; 021301(R); Philipp Schierz and Johannes Zierenberg and Wolfhard Janke; First-order phase transitions in the real microcanonical ensemble; http://journals.aps.org/pre/abstract/10.1103/PhysRevE.94.021301; (Editor's Suggestion)
2017; Nature Communications; 8; 14546; Johannes Zierenberg and Philipp Schierz and Wolfhard Janke; Canonical free-energy barrier of particle and polymer cluster formation; https://www.nature.com/articles/ncomms14546;
2016; J. Phys.: Conf. Ser.; 750; 012017; Johannes Zierenberg and Wolfhard Janke; Finite-size scaling of Lennard-Jones droplet formation at fixed density; http://iopscience.iop.org/article/10.1088/1742-6596/750/1/012017; in: Computer Simulation Studies in Condensed-Matter Physics XXVIII, eds. D.P. Landau, H.-B. Schüttler, S. Lewis, and M. Bachmann<br>[<a href="http://arxiv.org/abs/1605.05844">arxiv</a>] 
2016; J. Phys.: Conf. Ser.; 759; 012009; Andreas Nußbaumer and Johannes Zierenberg and Elmar Bittner and Wolfhard Janke; Numerical test of finite-size scaling predictions for the droplet condensation-evaporation transition; http://iopscience.iop.org/article/10.1088/1742-6596/759/1/012009;  [<a href="http://arxiv.org/abs/1605.05591">arXiv</a>]
2015; J. Chem. Phys.; 143; 134114; Philipp Schierz and Johannes Zierenberg and Wolfhard Janke; Molecular Dynamics and Monte Carlo simulations in the microcanonical ensemble: Quantitative comparison and reweighting techniques; http://scitation.aip.org/content/aip/journal/jcp/143/13/10.1063/1.4931484;
2015; Physics Procedia; 68; 95; Marco Mueller and Johannes Zierenberg and Martin Marenz and Philipp Schierz and Wolfhard Janke; http://www.sciencedirect.com/science/article/pii/S1875389215007257; in: Computer Simulation Studies in Condensed-Matter Physics XXVIII, eds. D. P. Landau, H.-B. Schüttler, S. Lewis and M. Bachmann;
2015; Phys. Rev. E; 92; 012134; Johannes Zierenberg and Wolfhard Janke; Exploring different regimes in finite-size scaling of the droplet condensation-evaporation transition; http://journals.aps.org/pre/abstract/10.1103/PhysRevE.92.012134; [<a href="http://arxiv.org/abs/1507.05755">arXiv</a>] 
2015; Phys. Rev. E; 91; 032126; Johannes Zierenberg and Nikoloas G. Fytas and Wolfhard Janke; Parallel multicanonical study of the three-dimensional Blume-Capel model; http://journals.aps.org/pre/abstract/10.1103/PhysRevE.91.032126; [<a href="http://arxiv.org/abs/1502.07214">arXiv</a>]
2014; J. Chem. Phys.; 141; 114908; Johannes Zierenberg and Marco Mueller and Martin Marenz and Philipp Schierz and Wolfhard Janke; Aggregation of theta-polymers in spherical confinement; http://scitation.aip.org/content/aip/journal/jcp/141/11/10.1063/1.4893307; [<a href="http://arxiv.org/abs/1412.1322">arXiv</a>]
2015; Europhys. Lett.; 109; 28002; Johannes Zierenberg and Wolfhard Janke; From amorphous aggregates to polymer bundles: The role of stiffness on structural phases in polymer aggregation; http://iopscience.iop.org/0295-5075/109/2/28002/; [<a href="http://arxiv.org/abs/1401.3227">arXiv</a>]
2014; J. Phys.: Conf. Ser.; 510; 012017; Johannes Zierenberg and Micha Wiedenmann and Wolfhard Janke; Application of the parallel multicanonical method to lattice gas condensation; http://dx.doi.org/10.1088/1742-6596/510/1/012017; [<a href="http://arxiv.org/abs/1401.4076">arXiv</a>]
2014; Physics Procedia; 53; 55; Johannes Zierenberg and Martin Marenz and Wolfhard Janke; Scaling properties of parallelized multicanonical simulations; http://www.sciencedirect.com/science/article/pii/S1875389214000376;  in: Computer Simulation Studies in Condensed-Matter Physics XXVI, eds. D.P. Landau, M. Bachmann, S.P Lewis, and H.-B. Schüttler
2013; Comput. Phys. Commun.; 184; 1155; Johannes Zierenberg and Martin Marenz and Wolfhard Janke; Scaling properties of a parallel implementation of the multicanonical algorithm; http://www.sciencedirect.com/science/article/pii/S001046551200402X; 
2012; Condens. Matter Phys.; 15; 43008; Martin Marenz and Johannes Zierenberg and Handan Arkin and Wolfhard Janke; Simple flexible polymers in a spherical cage; http://arxiv.org/abs/1212.6144;
2012; J. Phys. A: Math. Theor.;  45; 475002; Sebastian Schöbl and Johannes Zierenberg and Wolfhard Janke; Influence of lattice disorder on the structure of persistent polymer chains; http://iopscience.iop.org/1751-8121/45/47/475002; 
2011; Phys. Rev. E; 84; 051805; Sebastian Schöbl and Johannes Zierenberg and Wolfhard Janke; Simulating flexible polymers in a potential of randomly distributed hard disks; http://pre.aps.org/abstract/PRE/v84/i5/e051805;
